Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
1:03.3,38,13,26,activity_20623398286
0:55.6,35,15,30,activity_20623398286
0:47.1,31,14,28,activity_20623398286
0:58.9,36,14,28,activity_20643588788
0:50.3,32,14,28,activity_20643588788
0:56.4,37,17,34,activity_20643588788
0:51.0,34,17,34,activity_20643588788
0:51.8,34,17,34,activity_20643588788
1:01.2,37,13,26,activity_20896882655
0:56.9,35,14,28,activity_20896882655
0:55.6,36,16,32,activity_20896882655
0:58.3,37,15,30,activity_20896882655
0:55.9,36,16,32,activity_20896882655
0:54.3,35,15,30,activity_20896882655
1:21.7,53,24,48,activity_20964911769
1:15.3,48,21,42,activity_20964911769
1:13.5,48,22,44,activity_20964911769
1:10.4,46,21,42,activity_20964911769
1:02.4,41,20,40,activity_20964911769
0:58.0,41,24,48,activity_21030773676
1:01.5,43,24,48,activity_21030773676
0:59.1,41,22,44,activity_21030773676
0:58.9,40,22,44,activity_21030773676
0:59.6,41,23,46,activity_21030773676
0:59.4,41,23,46,activity_21030773676
0:49.5,36,22,44,activity_21030773676
0:49.2,33,16,32,activity_21093720769
0:49.1,33,17,34,activity_21093720769
0:47.7,33,19,38,activity_21093720769
0:49.6,35,21,42,activity_21093720769
0:49.1,35,20,40,activity_21093720769
0:47.6,33,19,38,activity_21093720769
0:58.7,40,22,44,activity_21155856247
0:57.5,40,22,44,activity_21155856247
1:02.7,43,23,46,activity_21278726321
0:58.9,40,22,44,activity_21278726321
1:04.8,44,23,46,activity_21338113438
1:08.5,46,23,46,activity_21338113438
1:10.0,46,21,42,activity_21687769191
1:15.3,49,23,46,activity_21687769191
1:09.7,46,23,46,activity_21687769191
1:07.5,45,22,44,activity_21687769191
1:00.1,39,18,36,activity_21832163880
1:00.2,40,20,40,activity_21832163880
1:00.5,40,19,38,activity_21977885733
1:03.6,43,22,44,activity_21977885733
1:01.4,41,21,42,activity_21977885733
0:51.9,36,21,42,activity_21977885733
0:49.5,35,21,42,activity_21977885733
0:48.3,35,21,42,activity_21977885733
0:56.6,37,18,36,activity_22462220610
0:54.7,38,21,42,activity_23136857346
0:56.7,40,24,48,activity_23136857346
0:53.9,38,23,46,activity_23136857346
0:50.1,37,23,46,activity_23136857346
1:03.4,44,24,48,activity_23136857346
